month,recovery_percent,baseline_2019
Jan 2022,8.3,100
Feb 2022,9.8,100
Mar 2022,20.4,100
Apr 2022,33.6,100
May 2022,34.6,100
Jun 2022,41.7,100
Jul 2022,41.2,100
Aug 2022,44.2,100
Sep 2022,53.5,100
Oct 2022,55.6,100
Nov 2022,61.9,100
Dec 2022,60.2,100
Jan 2023,56.4,100
Feb 2023,64.8,100
Mar 2023,73.3,100
Apr 2023,77.8,100
May 2023,76.7,100
Jun 2023,82.1,100
Jul 2023,79.1,100
Aug 2023,76.5,100
Sep 2023,84.1,100
Oct 2023,78.5,100
Nov 2023,81.4,100
Dec 2023,81.4,100
Jan 2024,82.6,100
Feb 2024,92.5,100
Mar 2024,91.0,100
Apr 2024,84.7,100
May 2024,89.9,100
Jun 2024,89.0,100
Jul 2024,83.4,100
Aug 2024,83.5,100
Sep 2024,90.8,100
Oct 2024,87.5,100
Nov 2024,85.2,100
Dec 2024,87.7,100
Jan 2025,97.1,100
Feb 2025,85.0,100
Mar 2025,91.0,100
Apr 2025,91.5,100
May 2025,91.5,100
Jun 2025,94.6,100
