country,year,visitors
New Zealand,2019,109920
New Zealand,2024,115270
New Zealand,2025,104570
New Zealand,2026,115760
China,2019,124370
China,2024,58240
China,2025,70990
China,2026,87560
USA,2019,89180
USA,2024,84770
USA,2025,83460
USA,2026,85750
UK,2019,74000
UK,2024,78820
UK,2025,74520
UK,2026,72130
Japan,2019,53470
Japan,2024,44800
Japan,2025,46750
Japan,2026,53930
India,2019,33990
India,2024,42390
India,2025,43370
India,2026,42380
South Korea,2019,26130
South Korea,2024,29970
South Korea,2025,29160
South Korea,2026,34990
Singapore,2019,38610
Singapore,2024,33510
Singapore,2025,33940
Singapore,2026,33330
Indonesia,2019,16020
Indonesia,2024,14730
Indonesia,2025,25890
Indonesia,2026,29800
